,Storm ID,Name,Date,Year,Status,Max Latitude,Max Longitude,Max Windspeed,Max Pressure,Start Date,End Date,Duration,Landfall,Lf Latitude,Lf Longitude,Lf Windspeed,Nearest City,Storm Category,Category Value
1248,AL031989,BARRY,1989-07-12 00:00:00,1989,TS,21.4N,53.1W,51.78509999999999,1005,1989-07-11 00:00:00,1989-07-13 12:00:00,2 days 12:00:00.000000000,,,,,,Tropical Storm,0
1723,AL031990,BERTHA,1990-07-31 00:00:00,1990,HU,36.6N,67.0W,80.5546,974,1990-07-28 00:00:00,1990-08-02 00:00:00,5 days 00:00:00.000000000,,,,,,Category One,1
2023,AL031991,BOB,1991-08-19 06:00:00,1991,HU,36.5N,74.5W,115.07799999999999,950,1991-08-16 18:00:00,1991-08-20 12:00:00,3 days 18:00:00.000000000,L,41.2,-71.6,103.57019999999999,"charlestown, us",Category Three,3
2481,AL031993,BRET,1993-08-06 06:00:00,1993,TS,10.1N,52.9W,57.538999999999994,1005,1993-08-05 00:00:00,1993-08-10 18:00:00,5 days 18:00:00.000000000,L,10.8,-60.8,57.538999999999994,"scarborough, tt",Tropical Storm,0
2698,AL031994,BERYL,1994-08-16 00:00:00,1994,TS,30.0N,85.6W,57.538999999999994,1000,1994-08-15 12:00:00,1994-08-16 06:00:00,0 days 18:00:00.000000000,L,30.0,-85.6,57.538999999999994,"springfield, us",Tropical Storm,0
3005,AL031995,CHANTAL,1995-07-17 00:00:00,1995,TS,27.2N,69.4W,69.04679999999999,991,1995-07-10 06:00:00,1995-07-20 12:00:00,10 days 06:00:00.000000000,,,,,,Tropical Storm,0
3596,AL031996,CESAR,1996-07-28 04:00:00,1996,HU,12.2N,83.9W,86.3085,985,1996-07-25 12:00:00,1996-07-28 18:00:00,3 days 06:00:00.000000000,L,12.2,-83.9,86.3085,"bluefields, ni",Category One,1
3933,AL031997,BILL,1997-07-12 12:00:00,1997,HU,37.9N,61.1W,74.80069999999999,987,1997-07-11 12:00:00,1997-07-13 06:00:00,1 days 18:00:00.000000000,,,,,,Category One,1
4143,AL031998,CHARLEY,1998-08-22 06:00:00,1998,TS,27.5N,96.5W,69.04679999999999,1002,1998-08-21 18:00:00,1998-08-22 12:00:00,0 days 18:00:00.000000000,L,27.8,-97.1,46.0312,"aransas pass, us",Tropical Storm,0
4913,AL031999,BRET,1999-08-22 06:00:00,1999,HU,25.5N,95.5W,143.8475,950,1999-08-19 18:00:00,1999-08-23 18:00:00,4 days 00:00:00.000000000,L,26.9,-97.4,115.07799999999999,"raymondville, us",Category Four,4
5594,AL032000,ALBERTO,2000-08-12 12:00:00,2000,HU,35.9N,55.3W,126.58579999999999,950,2000-08-04 06:00:00,2000-08-23 06:00:00,19 days 00:00:00.000000000,,,,,,Category Three,3
5941,AL032001,BARRY,2001-08-05 18:00:00,2001,TS,28.6N,86.4W,69.04679999999999,991,2001-08-02 18:00:00,2001-08-06 06:00:00,3 days 12:00:00.000000000,L,30.4,-86.3,69.04679999999999,"destin, us",Tropical Storm,0
6278,AL032002,CRISTOBAL,2002-08-08 00:00:00,2002,TS,29.7N,75.3W,51.78509999999999,1000,2002-08-06 18:00:00,2002-08-08 18:00:00,2 days 00:00:00.000000000,,,,,,Tropical Storm,0
6801,AL032003,BILL,2003-06-30 12:00:00,2003,TS,28.2N,91.5W,57.538999999999994,1002,2003-06-29 12:00:00,2003-07-01 00:00:00,1 days 12:00:00.000000000,L,29.3,-91.0,57.538999999999994,"houma, us",Tropical Storm,0
7260,AL032004,CHARLEY,2004-08-13 19:04:05,2004,HU,26.6N,82.2W,149.60139999999998,941,2004-08-10 06:00:00,2004-08-14 18:00:00,4 days 12:00:00.000000000,L,22.7,-82.6,120.83189999999999,"alquizar, cu",Category Four,4
8124,AL032005,CINDY,2005-07-06 00:00:00,2005,HU,28.5N,90.3W,74.80069999999999,992,2005-07-05 06:00:00,2005-07-06 12:00:00,1 days 06:00:00.000000000,L,29.2,-90.1,74.80069999999999,"estelle, us",Category One,1
8936,AL032006,BERYL,2006-07-19 18:00:00,2006,TS,35.9N,73.5W,57.538999999999994,1003,2006-07-18 18:00:00,2006-07-21 12:00:00,2 days 18:00:00.000000000,L,41.3,-70.1,51.78509999999999,"nantucket, us",Tropical Storm,0
9232,AL032007,CHANTAL,2007-07-31 12:00:00,2007,TS,39.1N,64.2W,51.78509999999999,999,2007-07-31 06:00:00,2007-08-01 00:00:00,0 days 18:00:00.000000000,,,,,,Tropical Storm,0
9588,AL032008,CRISTOBAL,2008-07-21 12:00:00,2008,TS,36.2N,73.2W,63.292899999999996,1000,2008-07-19 12:00:00,2008-07-23 06:00:00,3 days 18:00:00.000000000,,,,,,Tropical Storm,0
10656,AL032009,BILL,2009-08-19 06:00:00,2009,HU,17.6N,54.2W,132.3397,954,2009-08-15 18:00:00,2009-08-24 06:00:00,8 days 12:00:00.000000000,L,46.9,-56.0,69.04679999999999,"saint-pierre, pm",Category Four,4
10818,AL032010,BONNIE,2010-07-23 05:01:05,2010,TS,23.7N,77.5W,46.0312,1005,2010-07-22 23:01:05,2010-07-23 14:03:00,0 days 15:01:55.000000000,L,23.0,-75.7,40.2773,"clarence town, bs",Tropical Storm,0
11369,AL032011,CINDY,2011-07-21 18:00:00,2011,TS,41.3N,46.1W,69.04679999999999,994,2011-07-20 12:00:00,2011-07-22 18:00:00,2 days 06:00:00.000000000,,,,,,Tropical Storm,0
12055,AL032012,CHRIS,2012-06-21 12:00:00,2012,HU,40.5N,43.9W,86.3085,974,2012-06-19 12:00:00,2012-06-22 06:00:00,2 days 18:00:00.000000000,,,,,,Category One,1
12680,AL032013,CHANTAL,2013-07-09 12:00:00,2013,TS,13.9N,60.3W,63.292899999999996,1003,2013-07-07 12:00:00,2013-07-10 12:00:00,3 days 00:00:00.000000000,,,,,,Tropical Storm,0
12864,AL032014,BERTHA,2014-08-04 12:00:00,2014,HU,26.8N,73.6W,80.5546,998,2014-08-01 00:00:00,2014-08-06 12:00:00,5 days 12:00:00.000000000,L,21.8,-71.9,46.0312,"cockburn harbour, tc",Category One,1
13095,AL032015,CLAUDETTE,2015-07-13 18:00:00,2015,TS,37.6N,67.5W,51.78509999999999,1003,2015-07-13 12:00:00,2015-07-14 18:00:00,1 days 06:00:00.000000000,,,,,,Tropical Storm,0
13350,AL032016,COLIN,2016-06-06 12:00:00,2016,TS,26.4N,87.3W,51.78509999999999,1004,2016-06-05 18:00:00,2016-06-07 06:00:00,1 days 12:00:00.000000000,L,29.8,-83.6,51.78509999999999,"tallahassee, us",Tropical Storm,0
